Authors,Title,Year,Source title,Page count,Cited by,Abstract,Affiliations,Author Keywords,Index Keywords,Article Type,Document Type,Topic Domain,Level of IS Phenomenon,Geography,Ethics Paper Type,Ethics Theory Applied,Research Method,Contribution Type,Industry Setting,Mentions Metaethics,Mentions EvoBiology,Mentions TheologyGod,Mentions LegalProfessionalDuty,"
Metaethical Position",Explicitness
Heyder T.; Passlack N.; Posegga O.,Ethical management of human-AI interaction: Theory development review,2023,Journal of Strategic Information Systems,,50,"AI-based technologies have changed the nature of the symbiosis between humans and AI, and so strategic management of human-AI interaction in organizations requires deeper ethical considerations. Aligning AI with human values requires a systematic understanding of the ethical management of human-AI interaction. We conduct a theoretical review, from a sociotechnical perspective, and analyze ethical management of human-AI interaction through the lens of sociomateriality. Our systematic approach helps explain and clarify the interdependencies between two ethical perspectives – duty and virtue ethics – in sociotechnical systems. We also provide a theoretical framework that leads to seven avenues for future research. © 2023 The Author(s)","Information Systems and Social Networks, University of Bamberg, An der Weberei 5, Bamberg, 96047, Germany",Artificial intelligence; Ethics; Human-AI interaction; Sociomateriality; Theoretical review,Artificial intelligence; Ethical considerations; Human values; Human-AI interaction; Interaction theory; Socio materialities; Socio-technical perspective; Strategic management; Theoretical review; Theory development; Through the lens; Ethical technology,Research article,Review,Ethical IS design,Organization,Global,Normative,Deontology; virtue ethics,Conceptual analysis,Theoretical; research agenda,Cross sectoral,0,0,0,1,Underdetermined,Underdetermined
Marabelli M.; Newell S.,Responsibly strategizing with the metaverse: Business implications and DEI opportunities and challenges,2023,Journal of Strategic Information Systems,,45,"This viewpoint article aims to lay out the foundations for IS research on the strategic implications as well as diversity, equity, and inclusion (DEI) opportunities and challenges of the metaverse – a sociotechnical system providing users with an immersive, synchronous 3D experience of (virtual) reality through interoperable platforms and sensor devices. We first examine the metaverse's technologies and its underlying business models, which hold immense strategic implications for organizations and industries, and might require rethinking the future of work. As with most emerging technologies able to generate, collect, and process user data, the metaverse comes at a price; leveraging the metaverse strategically will require ethical and DEI considerations. After examining all these aspects of the metaverse, we reflect on ways IS scholarship engaged in strategizing can advance theoretical and practical knowledge by generating novel research questions and outlining a research agenda. Our contribution is twofold: first, we analyze the metaverse using a sociotechnical lens, thereby setting the ground for future studies of the phenomenon. Second, we identify specific strategic implications as well as DEI opportunities and challenges associated with the metaverse, and discuss how scholarship versed in IS strategizing can contribute to addressing them, both theoretically and empirically. © 2023 Elsevier B.V.","Bentley University, 175 Forest St., Waltham, 02122, MA, United States; Warwick Business School, Scarman Rd, Coventry, CV4 7AL, United Kingdom",DEI; Emerging technologies; Ethics; Interoperability; IS strategizing; Metaverse; Societal consequences; Sociotechnical systems,"Ethical technology; 3d experiences; Diversity, equity, and inclusion; Emerging technologies; Immersive; IS strategizing; Lay-out; Metaverses; Sensor device; Societal consequence; Sociotechnical systems; Interoperability",Viewpoint,Article,Ethical IS design,Organization; society,Global,Normative,None,Conceptual analysis,Theoretical; research agenda,Cross sectoral,0,0,0,1,Constructivism,Implicit
Tomalin M.,Rethinking online friction in the information society,2023,Journal of Information Technology,13,5,"A recurrent mantra of the technology industry is that all forms of ‘friction’ should be eliminated from online interactions (especially commercial transactions). In this context, ‘friction’ refers to any unnecessary retardation of a process or activity that delays the user accomplishing a desired action. This broad category can therefore include online adverts that link to the wrong webpages, pop-up windows that block access to content or delays in the physical delivery of an ordered item. Although visions of a frictionless future have been common since at least 1995 (the year Bill Gates popularised the phrase ‘friction-free capitalism’), the basic notion has remained unhelpfully vague. Accordingly, this article focuses specifically on the phenomenon of online friction (i.e. ‘e-friction’) and elaborates a typology of the main subtypes. An analytical framework of this kind makes it much easier to compare and contrast distinct kinds of e-friction, recognising that important differences distinguish those that are ‘elective’, ‘non-elective’, ‘impeding’, ‘distracting’ and so on. Having sketched a preliminary typology, the article reflects upon the ethical implications of the distinct varieties, and concludes by suggesting that there are several reasons why an entirely (e-)frictionless future is a profoundly disturbing one. © Association for Information Technology Trust 2022.","University of Cambridge, Cambridge, United Kingdom",friction; ICTs and society; information technology; online communications; social networking,Social networking (online); Social sciences computing; Commercial transactions; Ethical implications; ICT and society; Information society; On-line communication; Online interaction; Pop-up windows; Social-networking; Technology industry; Web-page; Friction,Research article,Article,Social media,Social,Global,Normative,Floridi's information ethics,Conceptual analysis,Theoretical; conceptual model,Social media,0,0,0,0,Realism; Non-naturalism,Implicit
Schlagwein D.; Willcocks L.,‘ChatGPT et al.’: The ethics of using (generative) artificial intelligence in research and science,2023,Journal of Information Technology,6,43,[No abstract available],"Business School, The University of Sydney, Sydney, NSW, Australia; Department of Management, The London School of Economics and Political Science, London, United Kingdom",,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,Deontology; consequentialism,Conceptual analysis,Theoretical,Research,0,0,0,0,Cognitivism,Implicit
Lindman J.; Makinen J.; Kasanen E.,"Big Tech’s power, political corporate social responsibility and regulation",2023,Journal of Information Technology,15,28,"The economic dominance of large Internet tech companies, specifically the ‘Big Five’ (Google, Apple, Meta née Facebook, Amazon and Microsoft), is fundamentally complicating the organisation of society. Their positions raise profound questions, old and new, at the intersection of information systems and political philosophy, where companies have traditionally appeared in liberal democracies as economic operators rather than powerful political actors that threaten to limit citizens’ fundamental rights significantly through their operations. Importantly, the traditional understanding of corporate social responsibility is rooted in the liberal-democratic conception of moral labour’s division between public and private powers in a market economy. Focussing on this division, the paper analyses the various types of political power these companies wield and the complexities of regulating that power. Thus, it contributes to the IS discipline’s theoretical discussion by introducing political theory concepts that hold untapped potential for reconciling Big Tech and modern liberal-democratic conceptions of society. Taking these concepts as underpinnings for discussing six types of power, in turn (business vs. politics, democratic government, institutions of a market economy, companies, civil society and citizens), the paper offers the discipline example research questions to tackle and points to potential directions for scholarship. © Association for Information Technology Trust 2023.","Department of Applied IT, University of Gothenburg, Gothenburg, Sweden; Estonian Business School Tallinn, Tallinn, Estonia; Department of Management Studies, Aalto University School of Business, Espoo, Finland; Aalto University, Aalto, Finland",Big tech; corporate social responsibility (CSR); digitalization; ethics; fundamental rights; political theory,Economic and social effects; Social aspects; Big five; Big tech; Corporate social responsibility; Digitalization; Fundamental right; Market economies; Political theory; Power; Social regulations; Commerce,Research article,Article,Digitalization,Social,USA; EU,Normative,Rawlsian liberalism,Conceptual analysis,Theoretical,Technology,0,0,0,1,Realism; Cognitivism; Constructivism,Implicit
Nussbaumer A.; Pope A.; Neville K.,A framework for applying ethics-by-design to decision support systems for emergency management,2023,Information Systems Journal,21,22,"The development and utilisation of new information and communication technologies presents opportunities and risks, which bring ethical issues to the forefront. Any attempt to minimise the potential negative consequences to individuals, organisations and society resulting from the use of these technologies is challenging. In order to address these challenges, this paper presents an ethics-by-design approach that has been developed and implemented in the context of Decision Supports Systems for Emergency Management. Such systems help manage large and cross-border disasters by supporting decision makers to respond on emergencies in a reasonable way by taking follow-up actions into account. The approach taken in this paper specifically provides means to support the ethical dimensions of these decisions. Actions taken during disasters can have ramifications that persist long after a disaster has passed. The ethics-by-design approach presented here not only informs the design of systems, but also considers the role and training of the decision makers in the design process. The paper builds on the literature on ethics in information systems and makes a contribution to theory by providing a framework to ensure ethical considerations are embedded into the design of systems. © 2021 The Authors. Information Systems Journal published by John Wiley & Sons Ltd.","Institute of Interactive Systems and Data Science (ISDS), Graz University of Technology, Graz, Austria; Business Information Systems, University College Cork, Cork, Ireland",computer ethics; decision support; decision support systems; emergency management; ethics; ethics-by-design,Artificial intelligence; Civil defense; Decision making; Design; Disasters; Embedded systems; Ethical technology; Information management; Information systems; Information use; Risk management; Computer ethics; Cross-border; Decision makers; Decision supports; Design approaches; Development and utilizations; Emergency management; Ethic-by-design; Ethical issues; New information and communication technologies; Decision support systems,Research article,Article,IS implementation,Organization; social,Europe,Normative,Value sensitive design,Design science; case-based evaluation,Theoretical; conceptual model,Healthcare,0,0,0,1,Cognitivism; Subjectivism,Implicit
Sarker S.; Whitley E.A.; Goh K.-Y.; Hong Y.; Mähring M.; Sanyal P.; Su N.; Xu H.; Xu J.D.; Zhang J.; Zhao H.,Editorial: Some Thoughts on Reviewing for Information Systems Research and Other Leading Information Systems Journals,2023,Information Systems Research,17,5,[No abstract available],"McIntire School of Commerce, University of Virginia, Charlottesville, 22903, VA, United States; Department of Management, London School of Economics and Political Science, London, WC2A 2AE, United Kingdom; Department of Information Systems and Analytics, National University of Singapore School of Computing, Singapore, Singapore; Miami Herbert Business School, University of Miami, Coral Gables, 33146, FL, United States; House of Innovation, Stockholm School of Economics, Stockholm, 113 83, Sweden; Costello College of Business, George Mason University, Fairfax, 22030, VA, United States; Ivey Business School, Western University, London, N6A 3K7, ON, Canada; Warrington College of Business, University of Florida, Gainesville, 32611, FL, United States; Department of Information Systems, College of Business, City University of Hong Kong, Hong Kong; Department of Operations and Decision Technologies, Kelley School of Business, Indiana University, Bloomington, 47405, IN, United States; Sheldon B. Lubar College of Business, University of Wisconsin-Milwaukee, Milwaukee, 53211, WI, United States",academic paper reviews; Ethics; Information Systems; Methodology; Theory,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None,Conceptual analysis,Methodological,Research,0,0,0,1,Realism; Cognitivism,Implicit
Baskerville R.L.; Myers M.D.,Reconceptualizing users: The roles and activities of people as they engage with digital technologies,2023,Journal of Information Technology,14,4,"The concept of the user has persisted in information systems research and practice since the field’s inception in the 1950s. However, the roles that people play and the activities they perform have changed considerably over time. People now engage with digital technologies for all kinds of activities and in all kinds of ways, including for both personal and professional purposes. Hence, the purpose of this paper is to reconceptualize the term “user.” We discuss the various activities that people engage in with digital technologies, the myriad roles they play, and an essential shift in what the term “user” means. Users might be active in shaping how a particular information system is used, they might be partners with an information system, they might be used by an information system, and they may spend sizable parts of their lives living essentially within information systems. We conclude by discussing the implications for the IS discipline of reconceptualizing the term “user.” © Association for Information Technology Trust 2023.","Georgia State University, Atlanta, GA, United States; University of Auckland, Auckland, New Zealand",activities; digital; ethics; information technology; people; public policy; roles; user,Information use; Public policy; Activity; Digital; Digital technologies; Information system research; Information systems practices; People; Role; User; Information systems,Research article,Article,IS discipline,Individual,Global,Normative,None,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Underdetermined,Underdetermined
Greene T.; Shmueli G.; Ray S.,Taking the Person Seriously: Ethically Aware IS Research in the Era of Reinforcement Learning-Based Personalization,2023,Journal of the Association for Information Systems,34,6,"Advances in reinforcement learning and implicit data collection on large-scale commercial platforms mark the beginning of a new era of personalization aimed at the adaptive control of human user environments. We present five emergent features of this new paradigm of personalization that endanger persons and societies at scale and analyze their potential to reduce personal autonomy, destabilize social and political systems, and facilitate mass surveillance and social control, among other concerns. We argue that current data protection laws, most notably the European Union’s General Data Protection Regulation, are limited in their ability to adequately address many of these issues. Nevertheless, we believe that IS researchers are well-situated to engage with and investigate this new era of personalization. We propose three distinct directions for ethically aware reinforcement learning-based personalization research uniquely suited to the strengths of IS researchers across the sociotechnical spectrum. © 2023 by the Association for Information Systems.","Department of Digitalization, Copenhagen Business School, Denmark; Institute of Service Science, National Tsing Hua University, Taiwan",AI Ethics; Data Protection; Digital Platforms; Personalization; Reinforcement Learning; Sociotechnical,Data privacy; E-learning; Ethical technology; Laws and legislation; Learning systems; Adaptive Control; AI ethic; Data collection; Digital platforms; Human users; Large-scales; Personal autonomy; Personalizations; Reinforcement learnings; Sociotechnical; Reinforcement learning,Research article,Article,Human-AI interaction; Ethical IS design,Individual; social,Global,Normative,Deontology; critical theory,Conceptual analysis,Theoretical,Platforms,0,0,0,1,Cognitivism; Realism; Constructivism; Non-naturalism,Explicit
Eckhardt A.; Breidbach C.F.,Ethics II: Editorial conduct,2024,Information Systems Journal,4,1,[No abstract available],"University of Innsbruck, Innsbruck, Austria; The University of Queensland, Brisbane, QLD, Australia",,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None; professional norms,Scenarios,Policy,Research,0,0,0,1,Realism; Cognitivism,Implicit
Feng N.; Zhou T.; Feng H.; Li M.,Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Journal of the Association for Information Systems,27,0,"An increasing number of software firms are utilizing bug bounty programs (BBPs) to detect bugs and enhance their product quality by leveraging the contributions of external ethical hackers. Although launching a BBP involves bounties as well as the costs of processing bug reports and fixing bugs, software firms can save failure costs and enjoy the benefits of greater user trust. The costs and benefits resulting from launching a BBP vary with launch timings and software licensing models. Hence, we investigate the optimal BBP launch strategies for software firms, using perpetual or subscription licensing models. Our findings reveal that under perpetual licensing, the firm has only two viable launch strategies: simultaneous launch, i.e., launching the software and the BBP simultaneously, and no launch. Under subscription licensing, however, delayed launch, i.e., launching the BBP later than the software release time, occurs as the optimal strategy when the failure cost is not high and the benefit of user trust is significant. Two distinct patterns in the relationship between the firm’s bug-fixing capability and its payoff are identified: a U-shaped pattern and an inverted U-shaped pattern. We uncover the conditions under which a firm should opt not to launch a BBP as its bug-fixing capability improves. This study offers insights into how firms can be motivated to launch BBPs to improve the overall reliability of their software. © 2024 by the Association for Information Systems.","College of Management and Economics, Laboratory of Computation and Analytics of Complex Management Systems(CACMS), Tianjin University, China; College of Management and Economics, Tianjin University, China",Bug Bounty Program; Ethical Hacker; Launch Timing; Software Licensing Model,Launching; Personal computing; Philosophical aspects; Program debugging; Software reliability; Bug bounty program; Bug-fixing; Ethical hacker; Failure cost; Launch timing; Shaped pattern; Software firms; Software licensing; Software licensing model; U-shaped; Timing circuits,Research article,Article,Software,Organization,Global,Empirical descriptive,None,Analytical modeling,Theoretical,Software,0,0,0,0,Underdetermined,Underdetermined
Molla A.; Kruse L.C.; Karanasios S.; Cheong C.; Hoang G.,Designing Information Systems for Infectious Disease Management in VUCA Situations: Insights from a Design Archaeology Analysis of COVIDSafe,2024,Journal of the Association for Information Systems,37,1,"Experience from contact tracing information systems (IS) relating to COVID-19 shows that designing IS to manage infectious diseases in volatile, urgent, complex, and ambiguous (VUCA) situations requires navigation of the interplay between several factors: technical features, the challenges of optimizing timeliness, sensitivity, public value, the urgent need for mass adoption, and unprecedented privacy, trust, and ethical dilemmas. In this paper, using a design archaeology approach, we analyzed the historical, stakeholder, artifactual, aesthetic, instrumental, and symbolic dimensions of COVIDSafe—a contact tracing IS implemented by the Australian Government. Based on the findings, we embarked on design theorizing, moving from the specific instance of the COVID-19 pandemic and COVIDSafe to the broader problem of VUCA health situations and solutions (i.e., infectious disease management information systems [IDMIS]). We contribute a new design theory for IDMIS specifying the aims and scope of the future design efforts for which the design theory can be useful, the roles of different stakeholders, and a set of design principles that clearly define actors, contexts, mechanisms, and rationale. We also discuss the usability of our inductively developed theory. Normatively, we add to the descriptive and explanatory knowledge that promotes a greater understanding of the role of IS in controlling and managing infectious diseases. In terms of method, the study highlights the application of a design archaeology approach for IS design theory research. © 2024, Association for Information Systems. All rights reserved.","Department of Information Systems and Business Analytics, RMIT University, Australia; Department of Information Systems, University of Agder, Norway; University of Queensland Business School, Australia; RMIT University, Australia; Hue University-University of Economics, Viet Nam",Contact Tracing; COVID-19; COVIDSafe; Design Archaeology; Design Theory; Infectious Disease Management; Information Systems; VUCA,"Economic and social effects; History; Information management; Contact tracing; COVIDSafe; Design archeology; Design theory; Disease management; Infectious disease; Infectious disease management; Management information; Technical features; Volatile, urgent, complex, and ambiguous; COVID-19",Research article,Article,Healthcare,Social,Australia,Normative,None,Design archeaology,Theoretical,Healthcare,0,0,0,0,Underdetermined,Underdetermined
Chatterjee S.; Sarker S.,Toward a better digital future: Balancing the utopic and dystopic ramifications of digitalization,2024,Journal of Strategic Information Systems,,6,"This paper discusses two opposing narratives of digitalization. Both these narratives are found in existing literature, and the paper understands them as the utopic and dystopic narratives of digitalization. The former expresses unbridled enthusiasm about the bright side of digitalization, while the latter is predominantly pessimistic, and primarily focuses on the undesirable aspects of digitalization. Observing that scholars tend to subscribe to either one or the other narrative, this paper proposes a more middle ground where these competing narratives can be balanced to usher in a better digital future. © 2024 Elsevier B.V.","University of Nevada, Las Vegas, Las Vegas, 89154, NV, United States; University of Virginia, Charlottesville, 22903, VA, United States",Datafication/robotification; Digital dystopia; Digital mindfulness; Digital utopia; Digitalization; Ethics; Hyperconnectivity; Moral pragmatism; Platformization; Vicious and virtuous cycles,Datafication/robotification; Digital dystopia; Digital mindfulness; Digital utopia; Digitalization; Hyperconnectivity; Moral pragmatism; Platformization; Vicious and virtuous cycle,Research article,Article,Digitalization,Disciplinary,Global,Normative,Pragmatism; deontology; utilitarianism,Conceptual analysis,Theoretical,Research,0,0,0,0,Underdetermined,Underdetermined
Davison R.M.; Chatterjee S.,Ethics I: Authors and their research,2024,Information Systems Journal,4,1,[No abstract available],"Department of Information Systems, City University of Hong Kong, Kowloon Tong, Hong Kong; Department of Management, Entrepreneurship and Technology, University of Nevada Las Vegas, Paradise, NV, United States",,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None,Authority,Conceptual; policy,Research,0,0,0,1,Cognitivism; Absolutism; Intuitionism,Implicit
Lee J.; Yoo C.W.; Wang J.; Rao H.R.,Use of Body Worn Camera (BWC) In Gray Scenarios: a Law Enforcement Officers’ Perspective,2024,European Journal of Information Systems,19,0,"Body Worn Camera (BWC) is an Information Technology (IT) artefact that has begun to be used in law enforcement. In this paper, we develop a research model that focuses on law enforcement agents’ perspective about the ethical use of BWC, by extending rational choice theory (RCT) from the standpoint of cost/benefit of using BWC, contextual factors, as well as organisational justice. The paper tests the relationship between three factors: a) work motivation, b) cost of using BWC, and c) benefit of using BWC and police perceptions of ethical use of BWC. In addition, we test the moderating effects of work-related uncertainty on the above three relationships. The associations between organisational justice factors and work motivation are also discussed. Further, in collaboration with the National White Collar Crime Center (NW3C), we develop three grey BWC scenarios that are not clearly ethical nor clearly unethical. We apply a survey methodology to test the model in the context of grey scenarios. The results show that work motivation and the risk of using BWC are negatively related with the law enforcement agents’ perceptions about ethical use of BWC and these relationships are negatively moderated by work-related uncertainty, while justice constructs are positively associated with perceived work motivation. © The Operational Research Society 2023.","Department of Computer Information Systems, Louisiana Tech University, Ruston, LA, United States; Department of Information Technology and Operations Management, Florida Atlantic University, Boca Raton, FL, United States; Department of Information Systems and Operations Management, University of Texas, Arlington, TX, United States; Department of Information Systems and Cyber Security, University of Texas, San Antonio, TX, United States",Body worn camera; emerging technology; perceptions about ethical use of IT artefact,Ethical technology; Law enforcement; Motivation; Risk perception; Body worn camera; Cost/benefit; Emerging technologies; Law enforcement officers; Organisational; Perception about ethical use of information technology artifact; Rational choice theory; Research models; Uncertainty; Work-related; Cameras,Research article,Article,Security,Individual; organization,USA,Empirical descriptive,Rational choice theory,Survey; scenarios; PLS SEM,Empirical,Law enforcement,0,0,0,1,Cognitivism,Implicit
Saffarizadeh K.; Keil M.; Maruping L.,Relationship Between Trust in the Artificial Intelligence Creator and Trust in Artificial Intelligence Systems: The Crucial Role of Artificial Intelligence Alignment and Steerability,2024,Journal of Management Information Systems,36,7,"This paper offers a novel perspective on trust in artificial intelligence (AI) systems, focusing on the transfer of user trust in AI creators to trust in AI systems. Using the agentic information systems (IS) framework, we investigate the role of AI alignment and steerability in trust transference. Through four randomized experiments, we probe three key alignment-related attributes of AI systems: creator-based steerability, user-based steerability, and autonomy. Results indicate that creator-based steerability amplifies trust transference from AI creator to AI system, while user-based steerability and autonomy diminish it. Our findings suggest that AI alignment efforts should consider the entity with which the AI goals and values should be aligned and highlight the need for research to theorize from a triadic view encompassing the user, the AI system, and its creator. Given the diversity in individual goals and values, we recommend that developers move beyond the prevailing “one-size-fits-all” alignment strategy. Our findings contribute to trust transference theory by highlighting the boundary conditions under which trust transference breaks down or holds in the emerging human-AI environment. ","Department of Information Systems and Operations Management, College of Business, University of Texas at Arlington, Arlington, TX, United States; Department of Computer Information Systems, J. Mack Robinson College of Business, Georgia State University, Atlanta, GA, United States",AI alignment; AI autonomy; AI ethics; AI trust; algorithmic decision making; creator-based steerability; trust transference; user-based steerability,Artificial intelligence; Algorithmic decision making; Algorithmics; Artificial intelligence alignment; Artificial intelligence autonomy; Artificial intelligence ethic; Artificial intelligence trust; Creator-based steerability; Decisions makings; Steerability; Trust transference; User-based steerability; Decision making,Research article,Article,Human-AI interaction; Ethical IS design,Organization,NA,Empirical descriptive,None,Experiment; survey; vignettes,Theoretical; empirical,Human resources,0,0,0,0,Relativism,Implicit
Davison R.M.,Ethics III: The ethics of editing,2024,Information Systems Journal,2,0,[No abstract available],"Department of Information Systems, City University of Hong Kong, Kowloon, Hong Kong",,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None,Anecdotes,Conceptual,Research,0,0,0,1,Constructivism; Subjectivism,Implicit
Mettler T.; Stepanovic S.,Acceptable nudge strategies to incentivize the use of wearables and physiolytics at work: A Q-methodology examination,2024,Journal of Information Technology,26,4,"The Covid-19 pandemic has increased the pressure on organizations to ensure health and safety in the workplace. An increasing number of organizations are considering wearables and physiolytics devices as part of their safe return to work programs so as to comply with governments’ accountability rules. As with other technologies with ambivalent use (i.e., simultaneously beneficial and harmful), the introduction of these devices in work settings is met with skepticism. In this context, nudging strategies as a way of using design, information, and other ways to manipulate behaviors (system 1 nudge) and choices (system 2 nudge) has gained traction and is often applied alongside the introduction of ambivalent technologies with the aim to “nudge” their use. While the feasibility of different nudge strategies is often studied from only a managerial perspective, where employees’ volitional autonomy and dignity is often treated as secondary, we explore which nudges are acceptable from the perspectives of ordinary workers. Using Q-methodology as a more evolutionary and participatory way to design nudges, we describe five basic strategies that are (to varying degrees) acceptable to them: (a) positive reinforcement and fun, (b) controlling the organizational environment, (c) self-responsibility, (d) collective responsibility, and (e) adapting the individual environment. Our findings show that there is a wide range of viewpoints on what is being considered an acceptable nudge and stress the importance of a transparent, equal dialogue between those who design nudges and potential nudgees. © Association for Information Technology Trust 2023.","Swiss Graduate School of Public Administration, University of Lausanne, Chavannes-près-Renens, Switzerland",Connected devices; health monitoring; IS ethics; nudging; physiolytics; Q-methodology; surveillance; wearables,Wearable technology; Connected device; Health and safety; Health monitoring; IS ethic; Nudging; Physiolytic; Q-methodology; Surveillance; Wearables; Work programs; Human resource management,Research article,Article,Healthcare,Group; individual,Switzerland,Empirical descriptive,None,Q-metholodology; interpretivist,Empirical,Healthcare,0,0,0,0,Subjectivism; Cognitivism; Relativism,Implicit
Alavi M.; Leidner D.E.; Mousavi R.,Knowledge Management Perspective of Generative Artificial Intelligence,2024,Journal of the Association for Information Systems,11,53,"In this editorial, revisiting Alavi and Leidner (2001) as a conceptual lens, we consider the organizational implications of Generative Artificial Intelligence (GenAI) from a knowledge management (KM) perspective. We examine how GenAI impact the processes of knowledge creation, storage, transfer, and application, highlighting both the opportunities and challenges this technology presents. In knowledge creation, GenAI enhances information? processing and cognitive functions, fostering individual and organizational learning. However, it also introduces risks like AI bias and reduced human socialization, potentially marginalizing junior knowledge workers. For knowledge storage and retrieval, GenAI’s ability to quickly access vast knowledge bases significantly changes employee interactions with KM systems. This raises questions about balancing human-derived tacit knowledge with AI-generated explicit knowledge. The paper also explores GenAI’s role in knowledge transfer, particularly in training and cultivating a learning culture. Challenges include an over-reliance on AI and risks in disseminating sensitive information. In terms of knowledge application, GenAI is seen as a tool to boost productivity and innovation, but issues like knowledge misapplication, intellectual property, and ethical considerations are critical. Conclusively, the paper argues for a balanced approach to integrating GenAI into KM processes. It advocates for harmonizing GenAI’s capabilities with human insights to effectively manage knowledge in contemporary organizations, ensuring both technological advances and ethical responsibility. © 2024 by the Association for Information Systems.","Scheller College of Business, Georgia Institute of Technology, United States; McIntire School of Commerce, University of Virginia, United States",AI-Driven Innovation; Ethical Implications of AI; GenAI Integration in Organizations; Generative Artificial Intelligence (GenAI); Knowledge Management; Knowledge Workers; Organizational Learning,,Editorial,Editorial,Knowledge manangement,Organization,Global,Normative,None,Conceptual analysis,Conceptual,Cross sectoral,0,0,0,1,Underdetermined,Underdetermined
Rossi M.; Cheung C.M.K.; Sarker S.; Thatcher J.B.,Ethical issues and unintended consequences of digitalization and platformization,2024,Journal of Information Technology,1,2,[No abstract available],"Aalto University, Finland; Hong Kong Baptist University, Hong Kong; University of Virginia, United States; University of Colorado Boulder, United States",,,Editorial,Editorial,IS discipline,Social,Global,Normative,None,Narrative overview,Theoretical,Cross sectoral,0,0,0,0,Underdetermined,Underdetermined
Kankanhalli A.,Peer Review in the Age of Generative AI,2024,Journal of the Association for Information Systems,8,19,"Rapid advances in artificial intelligence (AI), including recent generative forms, are significantly impacting our lives and work. A key aspect of our work as IS researchers is the publishing of research articles, for which peer review serves as the primary means of quality control. While there have been debates about whether and to what extent AI can replace researchers in various domains, including IS, we lack an in-depth understanding of how AI can impact the peer review process. Considering the high volume of submissions and limited reviewer resources, there is a pressing need to use AI to augment the review process. At the same time, advances in AI have been accompanied by concerns about biases introduced by AI tools and the ethics of using them, among other issues such as hallucinations. Thus, critical issues to understand are: how can AI augment and potentially automate the review process, what are the pitfalls in doing so, and what er the implications for IS research and peer review practice. I will offer my views on these issues in this opinion piece. © 2024 by the Association for Information Systems.","Department of Information Systems and Analytics, National University of Singapore, Singapore",Artificial Intelligence (AI); Augment; Bias; Ethics; Generative AI; Hallucinations; IS Research; Peer Review Process,,Editorial,Editorial,IS discipline,Disciplinary,Global,Normative,None,Conceptual analysis,Conceptual; methodological,Research,0,0,0,1,Anti-realism,Implicit
Michels L.; Ochmann J.; Schmitt K.; Laumer S.; Tiefenbeck V.,"Salience, transparency, and self-nudging: a digital nudge to promote healthier food product choices",2024,European Journal of Information Systems,30,7,"Information Systems (IS) research has proposed digital nudges as a promising toolset for supporting consumers in making better decisions. However, there is a vivid academic debate regarding the ethical underpinnings of nudging and potential measures to alleviate ethical concerns. One particularly promising approach to digital nudging is leveraging salience effects. Yet, the potential of digital salience nudges remains underexplored in IS literature, and little is known about how measures proposed to alleviate ethical concerns affect their behavioural impact. In a preregistered online experiment (N = 600), we assess the effects of a digital salience nudge on the healthiness of food product choices. Additionally, we examine how two proposed ethical measures, namely transparency and self-nudging, influence the nudge’s effects. We find that implementing the digital salience nudge in an online supermarket decreased the proportion of unhealthy food products chosen by 63% and increased the proportion of healthy alternatives by 30%. Notably, disclosing transparent information about the nudge did not impact its effectiveness. Offering the nudge as a self-nudge led to comparable effects to a preset nudge when combined with transparent information. We conclude that digital salience nudging is effective and that nudges can be ethically designed without compromising their behavioural impact. © The Operational Research Society 2023.","Institute of Information Systems, Friedrich-Alexander-Universität Erlangen-Nürnberg, Nürnberg, Germany",digital nudging; ecommerce; ethics; salience; self-nudging; transparency,Nutrition; Philosophical aspects; Digital nudging; Ecommerce; Ethical concerns; Healthy foods; Information system research; On-line experiments; Product choice; Salience; Self-nudging; Toolsets; Transparency,Research article,Article,E-commerce,Individual,UK,Empirical descriptive,Behavioral economics,Experiment,Empirical,E-commerce,0,0,0,0,Naturalism,Implicit
